"","ValueID","IndicatorID","InsertDate","Numerator","Denominator","IndicatorValue","IndicatorValueType","LowerCI95","UpperCI95","AggregationType","AggregationLabel","FiscalYear","Gender","AgeGroup","IMD","EthnicityCode","NHSCodeDefinition","StatusID","DataQualityID","IndicatorStartDate","IndicatorEndDate"
"35",35,49,2024-05-29,12,197,6091.37055837563,"IMD Crude Rate",3143.91362592844,10641.0446972674,"ICB","BSOL ICB","2023/2024","Persons","65+","Q2",NA,NA,1,1,2023-04-01,2024-03-31
"36",36,49,2024-05-29,2,157,1273.88535031847,"IMD Crude Rate",154.273425824182,4601.71189027004,"ICB","BSOL ICB","2019/2020","Persons","65+","Q3",NA,NA,1,1,2019-04-01,2020-03-31
"37",37,49,2024-05-29,2,157,1273.88535031847,"IMD Crude Rate",154.273425824182,4601.71189027004,"ICB","BSOL ICB","2020/2021","Persons","65+","Q3",NA,NA,1,1,2020-04-01,2021-03-31
"38",38,49,2024-05-29,5,157,3184.71337579618,"IMD Crude Rate",1034.06776440664,7432.05864925011,"ICB","BSOL ICB","2021/2022","Persons","65+","Q3",NA,NA,1,1,2021-04-01,2022-03-31
"39",39,49,2024-05-29,5,157,3184.71337579618,"IMD Crude Rate",1034.06776440664,7432.05864925011,"ICB","BSOL ICB","2022/2023","Persons","65+","Q3",NA,NA,1,1,2022-04-01,2023-03-31
"40",40,49,2024-05-29,4,157,2547.77070063694,"IMD Crude Rate",694.181766640972,6523.30488879216,"ICB","BSOL ICB","2023/2024","Persons","65+","Q3",NA,NA,1,1,2023-04-01,2024-03-31
"41",41,49,2024-05-29,4,149,2684.56375838926,"IMD Crude Rate",731.453270890151,6873.54944657966,"ICB","BSOL ICB","2019/2020","Persons","65+","Q4",NA,NA,1,1,2019-04-01,2020-03-31
"42",42,49,2024-05-29,5,149,3355.70469798658,"IMD Crude Rate",1089.58818128753,7831.09535525011,"ICB","BSOL ICB","2020/2021","Persons","65+","Q4",NA,NA,1,1,2020-04-01,2021-03-31
"43",43,49,2024-05-29,6,149,4026.84563758389,"IMD Crude Rate",1477.78137818178,8764.74766611992,"ICB","BSOL ICB","2021/2022","Persons","65+","Q4",NA,NA,1,1,2021-04-01,2022-03-31
"44",44,49,2024-05-29,10,149,6711.40939597315,"IMD Crude Rate",3213.05363353528,12343.2608092325,"ICB","BSOL ICB","2022/2023","Persons","65+","Q4",NA,NA,1,1,2022-04-01,2023-03-31
"45",45,49,2024-05-29,4,149,2684.56375838926,"IMD Crude Rate",731.453270890151,6873.54944657966,"ICB","BSOL ICB","2023/2024","Persons","65+","Q4",NA,NA,1,1,2023-04-01,2024-03-31
"46",46,49,2024-05-29,0,61,0,"IMD Crude Rate",0,6047.34336739989,"ICB","BSOL ICB","2019/2020","Persons","65+","Q5",NA,NA,1,1,2019-04-01,2020-03-31
"47",47,49,2024-05-29,1,61,1639.34426229508,"IMD Crude Rate",41.5046032529343,9133.84162449,"ICB","BSOL ICB","2020/2021","Persons","65+","Q5",NA,NA,1,1,2020-04-01,2021-03-31
"48",48,49,2024-05-29,0,61,0,"IMD Crude Rate",0,6047.34336739989,"ICB","BSOL ICB","2021/2022","Persons","65+","Q5",NA,NA,1,1,2021-04-01,2022-03-31
"49",49,49,2024-05-29,1,61,1639.34426229508,"IMD Crude Rate",41.5046032529343,9133.84162449,"ICB","BSOL ICB","2022/2023","Persons","65+","Q5",NA,NA,1,1,2022-04-01,2023-03-31
"50",50,49,2024-05-29,4,61,6557.37704918033,"IMD Crude Rate",1786.6645469284,16789.4896318093,"ICB","BSOL ICB","2023/2024","Persons","65+","Q5",NA,NA,1,1,2023-04-01,2024-03-31
"51",51,49,2024-05-29,1,100,1000,"Ethnicity-IMD Crude Rate",25.3178079842899,5571.6433909389,"ICB","BSOL ICB","2019/2020","Persons","65+","Q1","E","Mixed - White and Black African",1,1,2019-04-01,2020-03-31
"52",52,49,2024-05-29,1,100,1000,"Ethnicity-IMD Crude Rate",25.3178079842899,5571.6433909389,"ICB","BSOL ICB","2020/2021","Persons","65+","Q1","E","Mixed - White and Black African",1,1,2020-04-01,2021-03-31
"53",53,49,2024-05-29,1,100,1000,"Ethnicity-IMD Crude Rate",25.3178079842899,5571.6433909389,"ICB","BSOL ICB","2021/2022","Persons","65+","Q1","E","Mixed - White and Black African",1,1,2021-04-01,2022-03-31
"54",54,49,2024-05-29,1,100,1000,"Ethnicity-IMD Crude Rate",25.3178079842899,5571.6433909389,"ICB","BSOL ICB","2022/2023","Persons","65+","Q1","E","Mixed - White and Black African",1,1,2022-04-01,2023-03-31
"55",55,49,2024-05-29,4,100,4000,"Ethnicity-IMD Crude Rate",1089.86537362633,10241.5886754037,"ICB","BSOL ICB","2023/2024","Persons","65+","Q1","E","Mixed - White and Black African",1,1,2023-04-01,2024-03-31
"56",56,49,2024-05-29,59,1468,4019.07356948229,"Ethnicity-IMD Crude Rate",3059.32873781823,5184.40310824391,"ICB","BSOL ICB","2019/2020","Persons","65+","Q1","L","Asian or Asian British - Any other Asian background",1,1,2019-04-01,2020-03-31
"57",57,49,2024-05-29,40,1468,2724.79564032698,"Ethnicity-IMD Crude Rate",1946.41007264557,3710.49722888449,"ICB","BSOL ICB","2020/2021","Persons","65+","Q1","L","Asian or Asian British - Any other Asian background",1,1,2020-04-01,2021-03-31
"58",58,49,2024-05-29,59,1468,4019.07356948229,"Ethnicity-IMD Crude Rate",3059.32873781823,5184.40310824391,"ICB","BSOL ICB","2021/2022","Persons","65+","Q1","L","Asian or Asian British - Any other Asian background",1,1,2021-04-01,2022-03-31
"59",59,49,2024-05-29,69,1468,4700.27247956403,"Ethnicity-IMD Crude Rate",3656.93222280474,5948.58294065273,"ICB","BSOL ICB","2022/2023","Persons","65+","Q1","L","Asian or Asian British - Any other Asian background",1,1,2022-04-01,2023-03-31
"60",60,49,2024-05-29,70,1468,4768.39237057221,"Ethnicity-IMD Crude Rate",3717.03684721083,6024.66383710358,"ICB","BSOL ICB","2023/2024","Persons","65+","Q1","L","Asian or Asian British - Any other Asian background",1,1,2023-04-01,2024-03-31
"61",61,49,2024-05-29,0,56,0,"Ethnicity-IMD Crude Rate",0,6587.28473948917,"ICB","BSOL ICB","2019/2020","Persons","65+","Q1","Z","Not stated",1,1,2019-04-01,2020-03-31
"62",62,49,2024-05-29,0,56,0,"Ethnicity-IMD Crude Rate",0,6587.28473948917,"ICB","BSOL ICB","2020/2021","Persons","65+","Q1","Z","Not stated",1,1,2020-04-01,2021-03-31
"63",63,49,2024-05-29,0,56,0,"Ethnicity-IMD Crude Rate",0,6587.28473948917,"ICB","BSOL ICB","2021/2022","Persons","65+","Q1","Z","Not stated",1,1,2021-04-01,2022-03-31
"64",64,49,2024-05-29,0,56,0,"Ethnicity-IMD Crude Rate",0,6587.28473948917,"ICB","BSOL ICB","2022/2023","Persons","65+","Q1","Z","Not stated",1,1,2022-04-01,2023-03-31
"65",65,49,2024-05-29,0,56,0,"Ethnicity-IMD Crude Rate",0,6587.28473948917,"ICB","BSOL ICB","2023/2024","Persons","65+","Q1","Z","Not stated",1,1,2023-04-01,2024-03-31
"66",66,49,2024-05-29,0,66,0,"Ethnicity-IMD Crude Rate",0,5589.21129411202,"ICB","BSOL ICB","2019/2020","Persons","65+","Q1",NA,NA,1,1,2019-04-01,2020-03-31
"67",67,49,2024-05-29,0,66,0,"Ethnicity-IMD Crude Rate",0,5589.21129411202,"ICB","BSOL ICB","2020/2021","Persons","65+","Q1",NA,NA,1,1,2020-04-01,2021-03-31
"68",68,49,2024-05-29,0,66,0,"Ethnicity-IMD Crude Rate",0,5589.21129411202,"ICB","BSOL ICB","2021/2022","Persons","65+","Q1",NA,NA,1,1,2021-04-01,2022-03-31
"69",69,49,2024-05-29,0,66,0,"Ethnicity-IMD Crude Rate",0,5589.21129411202,"ICB","BSOL ICB","2022/2023","Persons","65+","Q1",NA,NA,1,1,2022-04-01,2023-03-31
"70",70,49,2024-05-29,0,66,0,"Ethnicity-IMD Crude Rate",0,5589.21129411202,"ICB","BSOL ICB","2023/2024","Persons","65+","Q1",NA,NA,1,1,2023-04-01,2024-03-31
"71",71,49,2024-05-29,0,13,0,"Ethnicity-IMD Crude Rate",0,28375.9958008764,"ICB","BSOL ICB","2019/2020","Persons","65+","Q2","E","Mixed - White and Black African",1,1,2019-04-01,2020-03-31
"72",72,49,2024-05-29,1,13,7692.30769230769,"Ethnicity-IMD Crude Rate",194.752369109922,42858.7953149146,"ICB","BSOL ICB","2020/2021","Persons","65+","Q2","E","Mixed - White and Black African",1,1,2020-04-01,2021-03-31
"73",73,49,2024-05-29,0,13,0,"Ethnicity-IMD Crude Rate",0,28375.9958008764,"ICB","BSOL ICB","2021/2022","Persons","65+","Q2","E","Mixed - White and Black African",1,1,2021-04-01,2022-03-31
"74",74,49,2024-05-29,0,13,0,"Ethnicity-IMD Crude Rate",0,28375.9958008764,"ICB","BSOL ICB","2022/2023","Persons","65+","Q2","E","Mixed - White and Black African",1,1,2022-04-01,2023-03-31
"75",75,49,2024-05-29,0,13,0,"Ethnicity-IMD Crude Rate",0,28375.9958008764,"ICB","BSOL ICB","2023/2024","Persons","65+","Q2","E","Mixed - White and Black African",1,1,2023-04-01,2024-03-31
"76",76,49,2024-05-29,11,164,6707.31707317073,"Ethnicity-IMD Crude Rate",3343.71353564023,12001.9738513088,"ICB","BSOL ICB","2019/2020","Persons","65+","Q2","L","Asian or Asian British - Any other Asian background",1,1,2019-04-01,2020-03-31
"77",77,49,2024-05-29,8,164,4878.0487804878,"Ethnicity-IMD Crude Rate",2105.9952297247,9611.70074402031,"ICB","BSOL ICB","2020/2021","Persons","65+","Q2","L","Asian or Asian British - Any other Asian background",1,1,2020-04-01,2021-03-31
"78",78,49,2024-05-29,4,164,2439.0243902439,"Ethnicity-IMD Crude Rate",664.552057089223,6244.87114353884,"ICB","BSOL ICB","2021/2022","Persons","65+","Q2","L","Asian or Asian British - Any other Asian background",1,1,2021-04-01,2022-03-31
"79",79,49,2024-05-29,4,164,2439.0243902439,"Ethnicity-IMD Crude Rate",664.552057089223,6244.87114353884,"ICB","BSOL ICB","2022/2023","Persons","65+","Q2","L","Asian or Asian British - Any other Asian background",1,1,2022-04-01,2023-03-31
"80",80,49,2024-05-29,12,164,7317.07317073171,"Ethnicity-IMD Crude Rate",3776.53039212136,12782.230520498,"ICB","BSOL ICB","2023/2024","Persons","65+","Q2","L","Asian or Asian British - Any other Asian background",1,1,2023-04-01,2024-03-31
"81",81,49,2024-05-29,0,9,0,"Ethnicity-IMD Crude Rate",0,40987.5494901548,"ICB","BSOL ICB","2019/2020","Persons","65+","Q2","Z","Not stated",1,1,2019-04-01,2020-03-31
"82",82,49,2024-05-29,0,9,0,"Ethnicity-IMD Crude Rate",0,40987.5494901548,"ICB","BSOL ICB","2020/2021","Persons","65+","Q2","Z","Not stated",1,1,2020-04-01,2021-03-31
"83",83,49,2024-05-29,0,9,0,"Ethnicity-IMD Crude Rate",0,40987.5494901548,"ICB","BSOL ICB","2021/2022","Persons","65+","Q2","Z","Not stated",1,1,2021-04-01,2022-03-31
"84",84,49,2024-05-29,0,9,0,"Ethnicity-IMD Crude Rate",0,40987.5494901548,"ICB","BSOL ICB","2022/2023","Persons","65+","Q2","Z","Not stated",1,1,2022-04-01,2023-03-31
"85",85,49,2024-05-29,0,9,0,"Ethnicity-IMD Crude Rate",0,40987.5494901548,"ICB","BSOL ICB","2023/2024","Persons","65+","Q2","Z","Not stated",1,1,2023-04-01,2024-03-31
"86",86,49,2024-05-29,0,11,0,"Ethnicity-IMD Crude Rate",0,33535.2677646721,"ICB","BSOL ICB","2019/2020","Persons","65+","Q2",NA,NA,1,1,2019-04-01,2020-03-31
"87",87,49,2024-05-29,0,11,0,"Ethnicity-IMD Crude Rate",0,33535.2677646721,"ICB","BSOL ICB","2020/2021","Persons","65+","Q2",NA,NA,1,1,2020-04-01,2021-03-31
"88",88,49,2024-05-29,0,11,0,"Ethnicity-IMD Crude Rate",0,33535.2677646721,"ICB","BSOL ICB","2021/2022","Persons","65+","Q2",NA,NA,1,1,2021-04-01,2022-03-31
"89",89,49,2024-05-29,0,11,0,"Ethnicity-IMD Crude Rate",0,33535.2677646721,"ICB","BSOL ICB","2022/2023","Persons","65+","Q2",NA,NA,1,1,2022-04-01,2023-03-31
"90",90,49,2024-05-29,0,11,0,"Ethnicity-IMD Crude Rate",0,33535.2677646721,"ICB","BSOL ICB","2023/2024","Persons","65+","Q2",NA,NA,1,1,2023-04-01,2024-03-31
"91",91,49,2024-05-29,0,8,0,"Ethnicity-IMD Crude Rate",0,46110.9931764242,"ICB","BSOL ICB","2019/2020","Persons","65+","Q3","E","Mixed - White and Black African",1,1,2019-04-01,2020-03-31
"92",92,49,2024-05-29,0,8,0,"Ethnicity-IMD Crude Rate",0,46110.9931764242,"ICB","BSOL ICB","2020/2021","Persons","65+","Q3","E","Mixed - White and Black African",1,1,2020-04-01,2021-03-31
"93",93,49,2024-05-29,0,8,0,"Ethnicity-IMD Crude Rate",0,46110.9931764242,"ICB","BSOL ICB","2021/2022","Persons","65+","Q3","E","Mixed - White and Black African",1,1,2021-04-01,2022-03-31
"94",94,49,2024-05-29,0,8,0,"Ethnicity-IMD Crude Rate",0,46110.9931764242,"ICB","BSOL ICB","2022/2023","Persons","65+","Q3","E","Mixed - White and Black African",1,1,2022-04-01,2023-03-31
"95",95,49,2024-05-29,0,8,0,"Ethnicity-IMD Crude Rate",0,46110.9931764242,"ICB","BSOL ICB","2023/2024","Persons","65+","Q3","E","Mixed - White and Black African",1,1,2023-04-01,2024-03-31
"96",96,49,2024-05-29,2,137,1459.85401459854,"Ethnicity-IMD Crude Rate",176.795093827712,5273.49464797369,"ICB","BSOL ICB","2019/2020","Persons","65+","Q3","L","Asian or Asian British - Any other Asian background",1,1,2019-04-01,2020-03-31
